,Unnamed: 0,Unnamed: 0.1,Cand_Name,Cand_Office_St,Cand_Office_Dist,Cand_Party_Affiliation,Year,recent_presidential_vote,percent_bachelor_or_above,gov_party,Party_Previous_Vote_Share,Incumbent,minority_percentage,Gender,Presidential_Approval_Rating,Same_Party_As_President,seat_transition,Median_Income,name_commonness,Primary.Vote.Percent,labor_force,Raised,Spent,won
192,865,867,"KING, STEVE MR.",IA,5.0,REP,2010,0.387038292,18.6,DEM,0.598377853,1,0.07493999999999999,1.0,0.48,False,,,159,99.22,75.6,1015038.57,1013945.28,1
195,888,891,"RUSH, BOBBY L",IL,1.0,DEM,2010,,22.0,DEM,0.8586535590000001,1,0.68737,1.0,0.54,True,1.0,38299.0,93,79.70,76.90666999999999,532446.77,555187.54,1
198,893,895,"JACKSON, JESSE L JR",IL,2.0,DEM,2010,,20.8,DEM,0.8941362509999999,1,0.74031,1.0,0.54,True,0.0,43515.0,66,100.00,72.4,795723.34,1032506.38,1
199,896,897,"BENDAS, MICHAEL A",IL,3.0,REP,2010,,23.7,DEM,0.21371919600000006,0,0.29608,1.0,0.54,False,4.0,55322.0,1,100.00,71.1,28807.0,39962.0,0
203,928,935,"RATOWITZ, DAVID",IL,5.0,REP,2010,,39.9,DEM,0.220367098,0,0.26696,1.0,0.54,False,4.0,57026.0,4,39.64,70.5619,64276.15,64275.75,0
204,932,923,"VASQUEZ, ISRAEL C",IL,5.0,DEM,2010,,39.9,DEM,0.7394279579999999,0,0.26696,1.0,0.54,True,4.0,57026.0,500,,70.5619,1301374.34,1087120.55,0
205,935,937,"LOWE, BENJAMIN S",IL,6.0,DEM,2010,,37.8,DEM,0.424295384,0,0.22588000000000005,1.0,0.54,True,4.0,66033.0,44,100.00,70.3,66631.66,63300.48,0
206,936,936,"ROSKAM, PETER",IL,6.0,REP,2010,,37.8,DEM,0.575704616,1,0.22588000000000005,1.0,0.54,False,4.0,66033.0,55,100.00,70.3,2381857.99,1251223.32,1
207,940,946,"DAVIS, DANNY K. MR.",IL,7.0,DEM,2010,,40.1,DEM,0.8501753870000001,1,0.6560199999999999,1.0,0.54,True,0.0,48698.0,95,66.77,69.3,593861.37,864981.7,1
211,959,960,"SCHAKOWSKY, JANICE D",IL,9.0,DEM,2010,,44.4,DEM,0.7466248659999999,1,0.3093,0.0,0.54,True,4.0,52691.0,184,100.00,72.8,1520106.02,1633677.84,1
213,973,978,"HALVORSON, DEBORAH 'DEBBIE'",IL,11.0,DEM,2010,,21.8,DEM,0.584004152,1,0.15425999999999998,0.0,0.54,True,0.0,55276.0,61,100.00,68.8,2695431.84,2502037.36,0
214,974,979,"KINZINGER, ADAM",IL,11.0,REP,2010,,21.8,DEM,0.344793092,0,0.15425999999999998,1.0,0.54,False,0.0,55276.0,36,63.67,68.8,1881629.26,1827191.99,1
216,982,983,"NEWMAN, TERI",IL,12.0,REP,2010,0.5492913420000001,20.7,DEM,0.249452514,0,0.21395,0.0,0.54,False,0.0,42718.0,500,52.60,69.1,47058.0,44762.0,0
217,983,984,"BIGGERT, JUDY",IL,13.0,REP,2010,,46.0,DEM,0.53553443,1,0.21506,0.0,0.54,False,4.0,80124.0,500,100.00,74.6,1584516.56,1236454.18,1
218,984,985,"HARPER, SCOTT",IL,13.0,DEM,2010,,46.0,DEM,0.436479153,0,0.21506,1.0,0.54,True,4.0,80124.0,17,100.00,74.6,648365.01,616389.15,0
