Year#District/State#Candidate Name#Vote Total#
2006#5 FL#"Brown-Waite, Virginia ""Ginny"" Republican"#162421#
2006#5 FL#Russell, John T. Democratic#108959#
2006#6 FL#Stearns, Clifford (Cliff) B. Republican#136601#
2006#6 FL#Bruderly, David E. Democratic#91528#
2006#7 FL#Mica, John L. Republican#149656#
2006#7 FL#Chagnon, John F. Democratic#87584#
2006#8 FL#Keller, Ric Republican#95258#
2006#8 FL#Stuart, Charlie Democratic#82526#
2006#8 FL#Hoaglund, Wes Independent#2640#
2006#8 FL#Mauro, D.J. Write-In#17#
2006#8 FL#Sapp, Larry Write-In#3#
2006#9 FL#Bilirakis, Gus Michael Republican#123016#
2006#9 FL#Busansky, Phyllis Democratic#96978#
2006#9 FL#Pasayan, Andrew Write-In#19#
2006#10 FL#Young, C.W. Bill Republican#131488#
2006#10 FL#Simpson, Samm Democratic#67950#
2006#10 FL#Fiorella, Salvatore A. Write-In#7#
2006#11 FL#Castor, Kathy Democratic#97470#
2006#11 FL#Adams, Eddie , Jr. Republican#42454#
2006#11 FL#Greenwald, Jim Write-In#13#
2006#11 FL#Spencer, R. J. Write-In#5#
2006#12 FL#Putnam, Adam H. Republican#124452#
2006#12 FL#Viscusi, Joe Independent#34976#
2006#12 FL#Bowlin, Ed Independent#20636#
2006#13 FL#Buchanan, Vern Republican#119309#
2006#13 FL#Jennings, Christine Democratic#118940#
2006#14 FL#Mack, Connie Republican#151615#
2006#14 FL#Neeld, Robert M. Democratic#83920#
2006#14 FL#Grayson, Richard Write-In#3#
2006#14 FL#Dan Write-In#1#
2006#15 FL#Weldon, Dave Republican#125965#
2006#15 FL#Bowman, Bob Democratic#97834#
2006#16 FL#Mahoney, Tim Democratic#115832#
2006#16 FL#Negron, Joe Republican#111415#
2006#16 FL#Ross, Emmie Independent#6526#
2006#17 FL#Meek, Kendrick B. Democratic#90663#
2006#17 FL#Simpson, Eric Write-In#23#
2006#18 FL#Ros-Lehtinen, Ileana Republican#79631#
2006#18 FL#"Patlak, David ""Big Dave"" Democratic"#48499#
2006#18 FL#Trowe, Margaret Write-In#2#
2006#19 FL#Wexler, Robert Democratic#Unopposed#
2006#20 FL#Wasserman Schultz, Debbie Democratic#Unopposed#
2006#21 FL#Diaz-Balart, Lincoln Republican#66784#
2006#21 FL#Gonzalez, Frank J. Democratic#45522#
2006#22 FL#Klein, Ron Democratic#108688#
2006#22 FL#Shaw, E. Clay Republican#100663#
2006#22 FL#Evangelista, Neil Independent#4254#
2006#23 FL#Hastings, Alcee L. Democratic#Unopposed#
2006#24 FL#Feeney, Tom Republican#123795#
2006#24 FL#Curtis, Clint Democratic#89863#
2006#25 FL#Diaz-Balart, Mario Republican#60765#
2006#25 FL#Calderin, Michael Democratic#43168#
2006#1 GA#Kingston, Jack Republican#94961#
2006#1 GA#Nelson, Jim Democratic#43668#
2006#2 GA#Bishop, Sanford Democratic#88662#
2006#2 GA#Hughes, Bradley C. Republican#41967#
2006#3 GA#Westmoreland, Lynn Republican#130428#
2006#3 GA#McGraw, Mike Democratic#62371#
2006#4 GA#"Johnson, Henry C. ""Hank,"" Jr. Democratic"#106352#
2006#4 GA#Davis, Catherine Republican#34778#
2006#4 GA#Collins, Loren Write-In#64#
2006#5 GA#Lewis, John Democratic#122380#
2006#5 GA#Garcia, Eleanor Write-In#48#
2006#6 GA#Price, Tom Republican#144958#
2006#6 GA#Sinton, Steve Democratic#55294#
2006#7 GA#Linder, John Republican#130561#
2006#7 GA#Burns, Allan Democratic#53553#
2006#8 GA#Marshall, Jim Democratic#80660#
2006#8 GA#Collins, Mac Republican#78908#
2006#9 GA#Deal, Nathan Republican#128685#
2006#9 GA#Bradbury, John D. Democratic#39240#
2006#9 GA#Brown, Brian Russell Write-In#1#
2006#10 GA#Norwood, Charlie Republican#117721#
2006#10 GA#Holley, Terry Democratic#57032#
2006#11 GA#Gingrey, Phil Republican#118524#
2006#11 GA#Pillion, Patrick Samuel Democratic#48261#
2006#11 GA#Satterwhite, William Write-In#3#
2006#12 GA#Barrow, John Democratic#71651#
2006#12 GA#Burns, Max Republican#70787#
2006#13 GA#Scott, David Democratic#103019#
2006#13 GA#Honeycutt, Deborah Travis Republican#45770#
2006#1 HI#Abercrombie, Neil Democratic#112904#
2006#1 HI#Hough, Richard (Noah) Republican#49890#
2006#2 HI#Hirono, Mazie K. Democratic#106906#
2006#2 HI#Hogue, Bob Republican#68244#
2006#1 ID#Sali, Bill Republican#115843#
2006#1 ID#Grant, Larry Democratic#103935#
2006#1 ID#Olson, Dave Independent#6857#
2006#1 ID#Hedden-Nicely, Andy United#2882#
2006#1 ID#Smith, Paul Constitution#2457#
2006#2 ID#Simpson, Mike Republican#132262#
2006#2 ID#Hansen, Jim Democratic#73441#
2006#2 ID#Forth, Cameron Independent#5113#
2006#2 ID#Hedrick, Travis J. Constitution#2516#
2006#1 IL#Rush, Bobby L. Democratic#146623#
2006#1 IL#Tabour, Jason E. Republican#27804#
2006#2 IL#Jackson, Jesse L., Jr. Democratic#146347#
2006#2 IL#Belin, Robert Republican#20395#
2006#2 IL#Williams, Anthony W. Libertarian#5748#
2006#3 IL#Lipinski, Daniel William Democratic#127768#
2006#3 IL#Wardingley, Raymond G. Republican#37954#
2006#4 IL#Gutierrez, Luis V. Democratic#69910#
2006#4 IL#Melichar, Ann Republican#11532#
2006#5 IL#Emanuel, Rahm Democratic#114319#
2006#5 IL#White, Kevin Edward Republican#32250#
2006#5 IL#Houlihan, John Write-In#12#
2006#6 IL#Roskam, Peter J. Republican#91382#
2006#6 IL#Duckworth, L. Tammy Democratic#86572#
2006#6 IL#Beard, Patricia Elaine Write-In#3#
2006#7 IL#Davis, Danny K. Democratic#143071#
2006#7 IL#Hutchinson, Charles Republican#21939#
2006#7 IL#Seida, Lowell M. Write-In#1#
2006#8 IL#Bean, Melissa Democratic#93355#
2006#8 IL#McSweeney, David Republican#80720#
2006#8 IL#Scheurer, Bill Moderate#9312#
2006#8 IL#Farnick, Jonathan Write-In#7#
2006#9 IL#Schakowsky, Janice D. Democratic#122852#
2006#9 IL#Shannon, Michael P. Republican#41858#
2006#9 IL#Ribeiro, Simon M. Republican,Write-In#3#
2006#10 IL#Kirk, Mark Steven Republican#107929#
2006#10 IL#Seals, Daniel J. Democratic#94278#
2006#10 IL#Brumfield, Arthur C. Write-In#1#
2006#11 IL#"Weller, Gerald C. ""Jerry"" Republican"#109009#
2006#11 IL#Pavich, John Democratic#88846#
2006#11 IL#Waikar, Alaka Write-In#1#
2006#12 IL#Costello, Jerry F. Democratic#157802#
2006#12 IL#Siglar, W. K. Write-In#7#
2006#13 IL#Biggert, Judy Republican#119720#
2006#13 IL#Shannon, Joseph Democratic#85507#
2006#13 IL#Mastrogiovanni, Mark Alan Write-In#7#
2006#14 IL#Hastert, J. Dennis Republican#117870#
2006#14 IL#"Laesch, Jonathan ""John"" Democratic"#79274#
2006#15 IL#Johnson, Timothy V. Republican#116810#
2006#15 IL#Gill, David Democratic#86025#
2006#16 IL#Manzullo, Donald A. Republican#125951#
2006#16 IL#Auman, Richard D. Democratic#63627#
2006#16 IL#Borling, General John Write-In#8523#
2006#17 IL#Hare, Phil Democratic#115025#
2006#17 IL#Zinga, Andrea Republican#86161#
2006#18 IL#LaHood, Ray Republican#150194#
2006#18 IL#Waterworth, Steve Democratic#73052#
2006#19 IL#Shimkus, John M. Republican#143491#
2006#19 IL#Stover, Danny L. Democratic#92861#
2006#1 IN#Visclosky, Peter J. Democratic#104195#
2006#1 IN#Leyva, Mark J. Republican#40146#
2006#1 IN#Barman, Charles Independent#5266#
2006#2 IN#Donnelly, Joe Democratic#103561#
2006#2 IN#Chocola, J. Christopher Republican#88300#
2006#3 IN#Souder, Mark E. Republican#95421#
2006#3 IN#Hayhurst, Thomas E. Democratic#80357#
2006#4 IN#Buyer, Steve Republican#111057#
2006#4 IN#Sanders , David Avram Democratic#66986#
2006#5 IN#Carr, Katherine Fox Democratic#64362#
2006#5 IN#Burton, Dan Republican#133118#
2006#5 IN#Sharlow, Sheri Conover Libertarian#7431#
2006#5 IN#Miller, John Write-In,Independent#18#
2006#6 IN#Pence, Mike Republican#115266#
2006#6 IN#Welsh, Barry A. Democratic#76812#
2006#7 IN#Carson, Julia M. Democratic#74750#
2006#7 IN#Dickerson, Eric Republican#64304#
2006#8 IN#Ellsworth, Brad Democratic#131019#
2006#8 IN#Hostettler, John N. Republican#83704#
2006#9 IN#Hill, Baron P. Democratic#110454#
2006#9 IN#Sodrel, Michael E. Republican#100469#
2006#9 IN#Mantooth, Donald W. Write-In,Republican#33#
2006#9 IN#Schansberg, D. Eric Libertarian#9893#
2006#1 IA#Braley, Bruce Democratic#114322#
2006#1 IA#Whalen, Mike Republican#89729#
2006#1 IA#Hill, James F. Pirate#2201#
2006#1 IA#Schoeman, Albert W. Nominated by Petition#1226#
2006#2 IA#Loebsack, David Write-In,Democratic,Democratic#107683#
2006#2 IA#Leach, James A. Republican#101707#
2006#3 IA#Boswell, Leonard L. Democratic#115769#
2006#3 IA#Lamberti, Jeff Republican#103722#
2006#3 IA#Meyers, Helen Socialist Workers Party#3591#
2006#4 IA#Latham, Tom Republican#121650#
2006#4 IA#Spencer, Selden E. Democratic#90982#
2006#5 IA#King, Steve Republican#105580#
2006#5 IA#Schulte, Joyce Democratic#64181#
2006#5 IA#Nielsen, Roy Nominated by Petition#8159#
2006#5 IA#Brodersen, Cheryl L. Nominated by Petition#2479#
2006#1 KS#Moran, Jerry Republican#156728#
2006#1 KS#Doll, John Democratic#39781#
2006#1 KS#Cain, Sylvester Reform#2869#
2006#2 KS#Boyda, Nancy Democratic#114139#
