"Harris , J.",GA,8,DEM,2016,81903
"Collins , D.",GA,9,REP,2016,1
"Hice , J.",GA,10,REP,2016,1
"Loudermilk , B.",GA,11,REP,2016,216772
"Wilson , D.",GA,11,DEM,2016,104401
"Allen , R.",GA,12,REP,2016,158705
"McCracken , T.",GA,12,DEM,2016,98870
"Scott , D.",GA,13,DEM,2016,1
"Graves , T.",GA,14,REP,2016,1
"Hanabusa , C.",HI,1,DEM,2016,135069
"Ostrov , S.",HI,1,REP,2016,42569
"Yim , A.",HI,1,LIB,2016,6127
"Griffin , C.",HI,1,OTHER,2016,4040
"Gabbard , T.",HI,2,DEM,2016,163484
"Kaaihue , A.",HI,2,REP,2016,38098
"Labrador , R.",ID,1,REP,2016,236397
"Piotrowski , J.",ID,1,DEM,2016,111035
"Simpson , M.",ID,2,REP,2016,208887
"Martinez , J.",ID,2,DEM,2016,97250
"Tomkins , A.",ID,2,OTHER,2016,25575
"Rush , B.",IL,1,DEM,2016,221551
"Deuser , A.",IL,1,REP,2016,80161
"Kelly , R.",IL,2,DEM,2016,229184
"Morrow , J.",IL,2,REP,2016,58788
"Lipinski , D.",IL,3,DEM,2016,1
"Gutierrez , L.",IL,4,DEM,2016,1
"Quigley , M.",IL,5,DEM,2016,201983
"Kolber , V.",IL,5,REP,2016,82931
"Sherman , R.",IL,5,GRE,2016,13867
"Roskam , P.",IL,6,REP,2016,205746
"Howland , A.",IL,6,DEM,2016,140023
"Davis , D.",IL,7,DEM,2016,232322
"Leef , J.",IL,7,REP,2016,44242
"Krishnamoorthi , R.",IL,8,DEM,2016,141138
"DiCianni , P.",IL,8,REP,2016,101893
"Schakowsky , J.",IL,9,DEM,2016,203834
"McCarthy Lasonde , J.",IL,9,REP,2016,105920
"Schneider , B.",IL,10,DEM,2016,147299
"Dold , R.",IL,10,REP,2016,133383
"Foster , B.",IL,11,DEM,2016,157659
"Khouri , T.",IL,11,REP,2016,105762
"Bost , M.",IL,12,REP,2016,169233
"Baricevic , C.",IL,12,DEM,2016,123754
"Bradshaw , P.",IL,12,GRE,2016,18713
"Davis , R.",IL,13,REP,2016,186791
"Wicklund , M.",IL,13,DEM,2016,125932
"Hultgren , R.",IL,14,REP,2016,197962
"Walz , J.",IL,14,DEM,2016,134362
"Shimkus , J.",IL,15,REP,2016,1
"Kinzinger , A.",IL,16,REP,2016,1
"Bustos , C.",IL,17,DEM,2016,170746
"Harlan , P.",IL,17,REP,2016,113141
"LaHood , D.",IL,18,REP,2016,248701
"Rodriguez , J.",IL,18,DEM,2016,95741
"Visclosky , P.",IN,1,DEM,2016,207299
"Dunn , D.",IN,1,LIB,2016,47009
"Walorski , J.",IN,2,REP,2016,164276
"Coleman , L.",IN,2,DEM,2016,102332
"Cenkush , R.",IN,2,LIB,2016,10594
"Banks , J.",IN,3,REP,2016,201216
"Schrader , T.",IN,3,DEM,2016,65908
"Snyder , P.",IN,3,LIB,2016,19782
"Rokita , T.",IN,4,REP,2016,193272
"Dale , J.",IN,4,DEM,2016,91153
"Mayoras , S.",IN,4,LIB,2016,14758
"Brooks , S.",IN,5,REP,2016,221785
"Demaree , A.",IN,5,DEM,2016,123791
"Wittlief , M.",IN,5,LIB,2016,15324
"Messer , L.",IN,6,REP,2016,204844
"Welsh , B.",IN,6,DEM,2016,79075
"Turvey , R.",IN,6,LIB,2016,12325
"Carson , A.",IN,7,DEM,2016,158606
"Ping , C.",IN,7,REP,2016,94396
"Thompson , D.",IN,7,LIB,2016,11470
"Bucshon , L.",IN,8,REP,2016,187569
"Drake , R.",IN,8,DEM,2016,93130
"Horning , A.",IN,8,LIB,2016,13630
"Hollingsworth , T.",IN,9,REP,2016,174698
"Yoder , S.",IN,9,DEM,2016,130539
"Brooksbank , R.",IN,9,LIB,2016,17417
"Blum , R.",IA,1,REP,2016,206273
"Vernon , M.",IA,1,DEM,2016,176447
"Loebsack , D.",IA,2,DEM,2016,197802
"Peters , C.",IA,2,REP,2016,170529
"Young , D.",IA,3,REP,2016,208264
"Mowrer , J.",IA,3,DEM,2016,154780
"Holder , B.",IA,3,LIB,2016,15337
"Addy , C.",IA,3,OTHER,2016,6335
"Grandanette , J.",IA,3,OTHER,2016,4511
"King , S.",IA,4,REP,2016,225842
"Weaver , K.",IA,4,DEM,2016,142018
"Marshall , R.",KS,1,REP,2016,166051
"LaPolice , A.",KS,1,IND,2016,66218
"Burt , K.",KS,1,LIB,2016,18415
"Jenkins , L.",KS,2,REP,2016,177851
"Potter , B.",KS,2,DEM,2016,94561
"Bales , J.",KS,2,LIB,2016,18700
"Yoder , K.",KS,3,REP,2016,171647
"Sidie , J.",KS,3,DEM,2016,135778
"Hohe , S.",KS,3,LIB,2016,26897
"Pompeo , M.",KS,4,REP,2016,163406
"Giroux , D.",KS,4,DEM,2016,78822
"Allen , M.",KS,4,IND,2016,18358
"Bakken , G.",KS,4,LIB,2016,7420
"Comer , J.",KY,1,REP,2016,216957
"Gaskins , S.",KY,1,DEM,2016,81710
"Guthrie , B.",KY,2,REP,2016,1
"Yarmuth , J.",KY,3,DEM,2016,212388
"Bratcher , H.",KY,3,REP,2016,122085
"Corley , E.",KY,3,OTHER,2016,0
"Massie , T.",KY,4,REP,2016,233922
"Sidle , C.",KY,4,DEM,2016,94064
"Rogers , H.",KY,5,REP,2016,1
"Barr , A.",KY,6,REP,2016,202094
"Kemper , N.",KY,6,DEM,2016,128725
"Scalise , S.",LA,1,REP,2016,243575
"Dugas , L.",LA,1,DEM,2016,41816
"Faust , D.",LA,1,DEM,2016,12698
"Kearney , H.",LA,1,LIB,2016,9395
"Swider , J.",LA,1,DEM,2016,9231
"Barron , E.",LA,1,GRE,2016,6712
"Yang , C.",LA,1,OTHER,2016,3233
"Richmond , C.",LA,2,DEM,2016,198169
"Holden , K.",LA,2,DEM,2016,57083
"Cutno , K.",LA,2,DEM,2016,28826
"S. Angelle , Winner*",LA,3,REP,2016,91374
"C. Higgins , Winner*",LA,3,REP,2016,84809
"Hebert , J.",LA,3,DEM,2016,28358
"Rader , L.",LA,3,DEM,2016,27807
