Year,Candidate Name,District/State,Vote Total
2016,R H. Vidrine,3 louisiana,"1,354"
2016,D Winner* M. Jones,4 louisiana,"80,558"
2016,R Winner* M. Johnson,4 louisiana,"70,556"
2016,R T. Baucum,4 louisiana,"50,395"
2016,R O. Jenkins,4 louisiana,"44,500"
2016,R E. Guillory,4 louisiana,"21,011"
2016,R R. John,4 louisiana,"13,215"
2016,N M. Halverson,4 louisiana,"3,145"
2016,N K. Krefft,4 louisiana,"2,492"
2016,R Winner R. Abraham (i),5 louisiana,"208,504"
2016,R B. Burkette,5 louisiana,"47,106"
2016,R Winner G. Graves (i),6 louisiana,"207,453"
2016,D R. Lieberman,6 louisiana,"49,352"
2016,R B. Bell,6 louisiana,"33,585"
2016,D J. Sampson,6 louisiana,"29,809"
2016,L R. Fontanesi,6 louisiana,"7,598"
2016,O D. Graham,6 louisiana,"3,215"
2016,D Winner C. Pingree (i),1 maine,"225,428"
2016,R M. Holbrook,1 maine,"164,048"
2016,R Winner B. Poliquin (i),2 maine,"192,285"
2016,D E. Cain,2 maine,"157,862"
2016,R Winner A. Harris (i),1 maryland,"229,135"
2016,D J. Werner,1 maryland,"94,776"
2016,L M. Beers,1 maryland,"14,207"
2016,D Winner D. Ruppersberger (i),2 maryland,"172,324"
2016,R P. McDonough,2 maryland,"92,099"
2016,L K. Kasprzak,2 maryland,"12,530"
2016,D Winner J. Sarbanes (i),3 maryland,"194,362"
2016,R M. Plaster,3 maryland,"106,627"
2016,G N. Eze,3 maryland,"8,430"
2016,D Winner A. Brown,4 maryland,"218,215"
2016,R G. McDermott,4 maryland,"63,674"
2016,G K. Clark,4 maryland,"7,357"
2016,L B. Krause,4 maryland,"5,274"
2016,D Winner S. Hoyer (i),5 maryland,"223,582"
2016,R M. Arness,5 maryland,"98,768"
2016,L J. Summers,5 maryland,"10,033"
2016,D Winner J. Delaney (i),6 maryland,"167,229"
2016,R A. Hoeber,6 maryland,"123,611"
2016,L D. Howser,6 maryland,"6,216"
2016,G G. Gluck,6 maryland,"4,997"
2016,D Winner E. Cummings (i),7 maryland,"211,962"
2016,R C. Vaughn,7 maryland,"61,854"
2016,G M. Hoenig,7 maryland,"8,428"
2016,D Winner J. Raskin,8 maryland,"191,671"
2016,R D. Cox,8 maryland,"115,200"
2016,G N. Wallace,8 maryland,"9,761"
2016,L J. Wunder,8 maryland,"6,540"
2016,D Winner R. Neal (i),1 massachusetts,"233,310"
2016,I F. Mayock,1 massachusetts,"57,226"
2016,L T. Simmons,1 massachusetts,"27,427"
2016,D Winner J. McGovern (i),2 massachusetts,NA
2016,D Winner N. Tsongas (i),3 massachusetts,"234,361"
2016,R A. Wofford,3 massachusetts,"106,882"
2016,D Winner J. Kennedy (i),4 massachusetts,"261,356"
2016,R D. Rosa,4 massachusetts,"111,890"
2016,D Winner K. Clark (i),5 massachusetts,NA
2016,D Winner S. Moulton (i),6 massachusetts,NA
2016,D Winner M. Capuano (i),7 massachusetts,NA
2016,D Winner S. Lynch (i),8 massachusetts,"267,944"
2016,R W. Burke,8 massachusetts,"102,146"
2016,D Winner B. Keating (i),9 massachusetts,"209,911"
2016,R M. Alliegro,9 massachusetts,"127,199"
2016,I P. Harrington,9 massachusetts,"26,086"
2016,U C. Cataldo,9 massachusetts,"8,266"
2016,U A. Raduc,9 massachusetts,"5,261"
2016,R Winner J. Bergman,1 michigan,"201,153"
2016,D L. Johnson,1 michigan,"144,319"
2016,L D. Bostow,1 michigan,"13,385"
2016,G E. Boal,1 michigan,"4,773"
2016,R Winner B. Huizenga (i),2 michigan,"213,095"
2016,D D. Murphy,2 michigan,"110,077"
2016,L E. Haas,2 michigan,"8,166"
2016,G M. Brady,2 michigan,"5,362"
2016,U R. Graeser,2 michigan,"2,898"
2016,R Winner J. Amash (i),3 michigan,"203,069"
2016,D D. Smith,3 michigan,"128,159"
2016,U T. Gerrard,3 michigan,"10,374"
2016,R Winner J. Moolenaar (i),4 michigan,"194,569"
2016,D D. Wirth,4 michigan,"101,275"
2016,L L. Schwartz,4 michigan,"8,514"
2016,U G. Zimmer,4 michigan,"5,595"
2016,G J. Salvi,4 michigan,"3,953"
2016,N K. Butkovich,4 michigan,"1,838"
2016,D Winner D. Kildee (i),5 michigan,"195,076"
2016,R A. Hardwick,5 michigan,"111,908"
2016,L S. Sluka,5 michigan,"6,999"
2016,G H. Mikkelson,5 michigan,"4,894"
2016,R Winner F. Upton (i),6 michigan,"192,862"
2016,D P. Clements,6 michigan,"119,871"
2016,L L. Wenke,6 michigan,"16,239"
2016,R Winner T. Walberg (i),7 michigan,"183,549"
